fact_id,geo_id,date_id,sales_amount
306,17,15,3119297.00
307,18,6,0.00
308,18,13,0.00
309,18,20,0.00
310,18,5,0.00
311,18,12,0.00
312,18,19,0.00
313,18,4,0.00
314,18,11,0.00
315,18,18,0.00
316,18,3,0.00
317,18,10,0.00
318,18,17,0.00
319,18,2,0.00
320,18,9,0.00
321,18,16,0.00
322,18,1,0.00
323,18,8,0.00
324,18,15,0.00
325,19,6,2049705.00
326,19,13,2049705.00
327,19,20,2049705.00
328,19,5,1873038.00
329,19,12,1873038.00
330,19,19,1873038.00
331,19,4,1774751.00
332,19,11,1774751.00
333,19,18,1774751.00
334,19,3,1707727.00
335,19,10,1707727.00
336,19,17,1707727.00
337,19,2,1814116.00
338,19,9,1814116.00
339,19,16,1814116.00
340,19,1,1766830.00
341,19,8,1766830.00
342,19,15,1766830.00
343,20,6,0.00
344,20,13,0.00
345,20,20,0.00
346,20,5,0.00
347,20,12,0.00
348,20,19,0.00
349,20,4,0.00
350,20,11,0.00
351,20,18,0.00
352,20,3,0.00
353,20,10,0.00
354,20,17,0.00
355,20,2,0.00
356,20,9,0.00
357,20,16,0.00
358,20,1,0.00
359,20,8,0.00
360,20,15,0.00
361,21,6,123426906.00
362,21,13,123426906.00
363,21,20,123426906.00
364,21,5,112944397.00
365,21,12,112944397.00
366,21,19,112944397.00
367,21,4,104114517.00
368,21,11,104114517.00
369,21,18,104114517.00
370,21,3,86306322.00
371,21,10,86306322.00
372,21,17,86306322.00
373,21,2,82850379.00
374,21,9,82850379.00
375,21,16,82850379.00
376,21,1,79743771.00
377,21,8,79743771.00
378,21,15,79743771.00
379,22,6,2722928.00
380,22,13,2722928.00
381,22,20,2722928.00
382,22,5,2474063.00
383,22,12,2474063.00
384,22,19,2474063.00
385,22,4,2277289.00
386,22,11,2277289.00
387,22,18,2277289.00
388,22,3,1964803.00
389,22,10,1964803.00
390,22,17,1964803.00
391,22,2,1902799.00
392,22,9,1902799.00
393,22,16,1902799.00
394,22,1,1813007.00
395,22,8,1813007.00
396,22,15,1813007.00
397,23,6,46220620.00
398,23,13,46220620.00
399,23,20,46220620.00
400,23,5,NULL
401,23,12,NULL
402,23,19,NULL
403,23,4,NULL
404,23,11,NULL
405,23,18,NULL
406,23,3,33562648.00
407,23,10,33562648.00
408,23,17,33562648.00
409,23,2,NULL
410,23,9,NULL
411,23,16,NULL
412,23,1,NULL
413,23,8,NULL
414,23,15,NULL
415,24,6,6626838.00
416,24,13,6626838.00
417,24,20,6626838.00
418,24,5,NULL
419,24,12,NULL
420,24,19,NULL
421,24,4,NULL
422,24,11,NULL
423,24,18,NULL
424,24,3,4936249.00
425,24,10,4936249.00
426,24,17,4936249.00
427,24,2,NULL
428,24,9,NULL
429,24,16,NULL
430,24,1,NULL
431,24,8,NULL
432,24,15,NULL
433,25,6,6511227.00
434,25,13,6511227.00
435,25,20,6511227.00
436,25,5,6241114.00
437,25,12,6241114.00
438,25,19,6241114.00
439,25,4,5381444.00
440,25,11,5381444.00
441,25,18,5381444.00
442,25,3,4785222.00
443,25,10,4785222.00
444,25,17,4785222.00
445,25,2,5317833.00
446,25,9,5317833.00
447,25,16,5317833.00
448,25,1,5268774.00
449,25,8,5268774.00
450,25,15,5268774.00
451,26,6,1674801.00
452,26,13,1674801.00
453,26,20,1674801.00
454,26,5,1586165.00
455,26,12,1586165.00
456,26,19,1586165.00
457,26,4,1389006.00
458,26,11,1389006.00
459,26,18,1389006.00
460,26,3,1256564.00
461,26,10,1256564.00
462,26,17,1256564.00
463,26,2,1302151.00
464,26,9,1302151.00
465,26,16,1302151.00
466,26,1,1242161.00
467,26,8,1242161.00
468,26,15,1242161.00
469,27,6,8129455.00
470,27,13,8129455.00
471,27,20,8129455.00
472,27,5,7721348.00
473,27,12,7721348.00
474,27,19,7721348.00
475,27,4,7496734.00
476,27,11,7496734.00
477,27,18,7496734.00
478,27,3,NULL
479,27,10,NULL
480,27,17,NULL
481,27,2,NULL
482,27,9,NULL
483,27,16,NULL
484,27,1,NULL
485,27,8,NULL
486,27,15,NULL
487,28,6,1746589.00
488,28,13,1746589.00
489,28,20,1746589.00
490,28,5,1656783.00
491,28,12,1656783.00
492,28,19,1656783.00
493,28,4,1473141.00
494,28,11,1473141.00
495,28,18,1473141.00
496,28,3,NULL
497,28,10,NULL
498,28,17,NULL
499,28,2,NULL
500,28,9,NULL
501,28,16,NULL
502,28,1,NULL
503,28,8,NULL
504,28,15,NULL
505,29,6,58973925.00
506,29,13,58973925.00
507,29,20,58973925.00
508,29,5,54537100.00
509,29,12,54537100.00
510,29,19,54537100.00
511,29,4,51300355.00
512,29,11,51300355.00
513,29,18,51300355.00
514,29,3,44978756.00
515,29,10,44978756.00
516,29,17,44978756.00
517,29,2,43449794.00
518,29,9,43449794.00
519,29,16,43449794.00
520,29,1,42315611.00
521,29,8,42315611.00
522,29,15,42315611.00
523,30,6,5630172.00
524,30,13,5630172.00
525,30,20,5630172.00
526,30,5,5181841.00
527,30,12,5181841.00
528,30,19,5181841.00
529,30,4,4892999.00
530,30,11,4892999.00
531,30,18,4892999.00
532,30,3,4370260.00
533,30,10,4370260.00
534,30,17,4370260.00
535,30,2,4099989.00
536,30,9,4099989.00
537,30,16,4099989.00
538,30,1,3990135.00
539,30,8,3990135.00
540,30,15,3990135.00
541,31,6,NULL
542,31,13,NULL
543,31,20,NULL
544,31,5,NULL
545,31,12,NULL
546,31,19,NULL
547,31,4,NULL
548,31,11,NULL
549,31,18,NULL
550,31,3,NULL
551,31,10,NULL
552,31,17,NULL
553,31,2,NULL
554,31,9,NULL
555,31,16,NULL
556,31,1,18118543.00
557,31,8,18118543.00
558,31,15,18118543.00
559,32,6,NULL
560,32,13,NULL
561,32,20,NULL
562,32,5,NULL
563,32,12,NULL
564,32,19,NULL
565,32,4,NULL
566,32,11,NULL
567,32,18,NULL
568,32,3,NULL
569,32,10,NULL
570,32,17,NULL
571,32,2,NULL
572,32,9,NULL
573,32,16,NULL
574,32,1,3732999.00
575,32,8,3732999.00
576,32,15,3732999.00
577,33,6,10275106.00
578,33,13,10275106.00
579,33,20,10275106.00
580,33,5,9500276.00
581,33,12,9500276.00
582,33,19,9500276.00
583,33,4,9039480.00
584,33,11,9039480.00
585,33,18,9039480.00
586,33,3,7870482.00
587,33,10,7870482.00
588,33,17,7870482.00
589,33,2,7608446.00
590,33,9,7608446.00
591,33,16,7608446.00
592,33,1,7285133.00
593,33,8,7285133.00
594,33,15,7285133.00
595,34,6,4811252.00
596,34,13,4811252.00
597,34,20,4811252.00
598,34,5,4416883.00
599,34,12,4416883.00
600,34,19,4416883.00
601,34,4,4206052.00
602,34,11,4206052.00
603,34,18,4206052.00
604,34,3,3715523.00
605,34,10,3715523.00
606,34,17,3715523.00
607,34,2,3532956.00
608,34,9,3532956.00
609,34,16,3532956.00
610,34,1,3378121.00
611,34,8,3378121.00
612,34,15,3378121.00
613,35,6,NULL
614,35,13,NULL
615,35,20,NULL
616,35,5,NULL
617,35,12,NULL
618,35,19,NULL
619,35,4,9248662.00
620,35,11,9248662.00
621,35,18,9248662.00
622,35,3,8308632.00
623,35,10,8308632.00
624,35,17,8308632.00
625,35,2,7892097.00
626,35,9,7892097.00
627,35,16,7892097.00
628,35,1,NULL
629,35,8,NULL
630,35,15,NULL
631,36,6,NULL
632,36,13,NULL
633,36,20,NULL
634,36,5,NULL
635,36,12,NULL
636,36,19,NULL
637,36,4,3437395.00
638,36,11,3437395.00
639,36,18,3437395.00
640,36,3,3184244.00
641,36,10,3184244.00
642,36,17,3184244.00
643,36,2,2981960.00
644,36,9,2981960.00
645,36,16,2981960.00
646,36,1,NULL
647,36,8,NULL
648,36,15,NULL
649,37,6,12203699.00
650,37,13,12203699.00
651,37,20,12203699.00
652,37,5,11129493.00
653,37,12,11129493.00
654,37,19,11129493.00
655,37,4,10581849.00
656,37,11,10581849.00
657,37,18,10581849.00
658,37,3,9344685.00
659,37,10,9344685.00
660,37,17,9344685.00
661,37,2,8864368.00
662,37,9,8864368.00
663,37,16,8864368.00
664,37,1,8583630.00
665,37,8,8583630.00
666,37,15,8583630.00
667,38,6,6793241.00
668,38,13,6793241.00
669,38,20,6793241.00
670,38,5,6175007.00
671,38,12,6175007.00
672,38,19,6175007.00
673,38,4,5907663.00
674,38,11,5907663.00
675,38,18,5907663.00
676,38,3,5287498.00
677,38,10,5287498.00
678,38,17,5287498.00
679,38,2,4877758.00
680,38,9,4877758.00
681,38,16,4877758.00
682,38,1,4554209.00
683,38,8,4554209.00
684,38,15,4554209.00
685,39,6,20304367.00
686,39,13,20304367.00
687,39,20,20304367.00
688,39,5,19403871.00
689,39,12,19403871.00
690,39,19,19403871.00
691,39,4,18412881.00
692,39,11,18412881.00
693,39,18,18412881.00
694,39,3,NULL
695,39,10,NULL
696,39,17,NULL
697,39,2,15167169.00
698,39,9,15167169.00
699,39,16,15167169.00
700,39,1,15025229.00
701,39,8,15025229.00
702,39,15,15025229.00
703,40,6,2613976.00
704,40,13,2613976.00
705,40,20,2613976.00
706,40,5,2486987.00
707,40,12,2486987.00
708,40,19,2486987.00
709,40,4,2361490.00
710,40,11,2361490.00
711,40,18,2361490.00
712,40,3,NULL
713,40,10,NULL
714,40,17,NULL
715,40,2,1900159.00
716,40,9,1900159.00
717,40,16,1900159.00
718,40,1,1865787.00
719,40,8,1865787.00
720,40,15,1865787.00
721,41,6,5667620.00
722,41,13,5667620.00
723,41,20,5667620.00
724,41,5,5167056.00
725,41,12,5167056.00
726,41,19,5167056.00
727,41,4,4865396.00
728,41,11,4865396.00
729,41,18,4865396.00
730,41,3,4109288.00
731,41,10,4109288.00
732,41,17,4109288.00
733,41,2,3758898.00
734,41,9,3758898.00
735,41,16,3758898.00
736,41,1,3568492.00
737,41,8,3568492.00
738,41,15,3568492.00
739,42,6,2835401.00
740,42,13,2835401.00
741,42,20,2835401.00
742,42,5,2589272.00
743,42,12,2589272.00
744,42,19,2589272.00
745,42,4,2399797.00
746,42,11,2399797.00
747,42,18,2399797.00
748,42,3,2171192.00
749,42,10,2171192.00
750,42,17,2171192.00
751,42,2,2092595.00
752,42,9,2092595.00
